omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix, sum_F
208.337197, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 2188.437212, 5155.607578
208.337197, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 2426.083203, 5752.801157
208.337197, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 2663.729193, 6349.994735
208.337197, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 2901.375183, 6947.188314
208.337197, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 3139.021174, 7544.381892
208.337197, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 3376.667164, 8141.575471
208.337197, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 3614.313154, 8738.769049
208.337197, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 3851.959145, 9335.962628
208.337197, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 4089.605135, 9933.156206
208.337197, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 4327.251125, 10530.349785
208.337197, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 480.952133, 134.277919, 4564.897116, 11127.543363
214.951076, 0.000000, 0.003130, 0.010734, 2.219904, 333.146355, 486.272314, 142.129838, 57.163274, -0.005242
214.951076, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 511.973485, 147.383800, 299.854495, 736.352695
214.951076, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 511.973485, 147.383800, 537.500486, 1416.864907
214.951076, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 511.973485, 147.383800, 775.146476, 2097.377120
214.951076, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 511.973485, 147.383800, 1012.792466, 2777.889332
214.951076, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 511.973485, 147.383800, 1250.438457, 3458.401544
214.951076, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 511.973485, 147.383800, 1488.084447, 4138.913757
214.951076, 99.468970, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 1713.145232, 3844.262767
214.951076, 113.678823, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 1950.791222, 4441.456345
214.951076, 127.888676, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 2188.437212, 5038.649924
214.951076, 142.098529, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 2426.083203, 5635.843502
214.951076, 156.308381, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 2663.729193, 6233.037081
214.951076, 170.518234, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 2901.375183, 6830.230659
214.951076, 184.728087, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 3139.021174, 7427.424238
214.951076, 198.937940, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 3376.667164, 8024.617816
214.951076, 213.147793, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 3614.313154, 8621.811395
214.951076, 227.357646, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 3851.959145, 9219.004973
214.951076, 241.567499, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 4089.605135, 9816.198552
214.951076, 255.777351, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 4327.251125, 10413.392130
214.951076, 269.987204, 0.000000, 0.008492, 3.905374, 300.254959, 511.973485, 134.277919, 4564.897116, 11010.585709
221.564956, 0.000000, 0.002947, 0.010594, 2.285105, 331.218546, 482.304979, 141.638164, 56.691133, 0.095506
221.564956, 14.209853, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 299.854495, 626.956071
221.564956, 28.419706, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 537.500486, 1307.468283
221.564956, 42.629559, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 775.146476, 1987.980495
221.564956, 56.839411, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 1012.792466, 2668.492708
221.564956, 71.049264, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 1250.438457, 3349.004920
221.564956, 85.259117, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 1488.084447, 4029.517132
221.564956, 99.468970, 0.005000, 0.012234, 1.679313, 352.793010, 543.964254, 147.383800, 1725.730437, 4710.029345
