omega_p, tau_s, d_p, d_s, ratio, F_sp, F_flyarm, F_ss, F_helix
208.337197, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 8604.878952
208.337197, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 8842.524942
208.337197, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 3411.012964, 134.277919, 9080.170932
214.951076, 269.987204, 0.001242, 0.009344, 3.053421, 313.310035, 3631.022871, 137.261676, 4567.762332
214.951076, 284.197057, 0.000246, 0.008657, 3.707906, 302.839207, 3631.022871, 134.855289, 4803.097538
214.951076, 298.406910, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 5040.189097
214.951076, 312.616763, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 5277.835087
214.951076, 326.826616, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 5515.481077
214.951076, 341.036469, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 5753.127068
214.951076, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 5990.773058
214.951076, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 6228.419048
214.951076, 383.666027, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 6466.065039
214.951076, 397.875880, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 6703.711029
214.951076, 412.085733, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 6941.357019
214.951076, 426.295586, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 7179.003010
214.951076, 440.505439, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 7416.649000
214.951076, 454.715292, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 7654.294990
214.951076, 468.925144, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 7891.940981
214.951076, 483.134997, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 8129.586971
214.951076, 497.344850, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 8367.232961
214.951076, 511.554703, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 8604.878952
214.951076, 525.764556, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 8842.524942
214.951076, 539.974409, 0.000000, 0.008492, 3.905374, 300.254959, 3631.022871, 134.277919, 9080.170932
221.564956, 269.987204, 0.002580, 0.010317, 2.423811, 327.368073, 3857.908087, 140.668355, 4571.033669
221.564956, 284.197057, 0.001585, 0.009587, 2.870359, 316.906440, 3857.908087, 138.113596, 4806.226397
221.564956, 298.406910, 0.000631, 0.008919, 3.430152, 306.885874, 3857.908087, 135.772424, 5041.624226
221.564956, 312.616763, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 5277.835087
221.564956, 326.826616, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 5515.481077
221.564956, 341.036469, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 5753.127068
221.564956, 355.246322, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 5990.773058
221.564956, 369.456174, 0.000000, 0.008492, 3.905374, 300.254959, 3857.908087, 134.277919, 6228.419048
