omega_p, tau_s, d_p, d_s, ratio
241.406593, 56.839411, 0.010000, 0.016963, 0.829905
241.406593, 85.259117, 0.010000, 0.016963, 0.829905
241.406593, 113.678823, 0.010000, 0.016963, 0.829905
241.406593, 142.098529, 0.010000, 0.016963, 0.829905
241.406593, 170.518234, 0.001842, 0.009773, 2.743840
241.406593, 198.937940, 0.005309, 0.012495, 1.606951
241.406593, 227.357646, 0.008196, 0.015122, 1.074501
241.406593, 255.777351, 0.010000, 0.016963, 0.829905
241.406593, 284.197057, 0.010000, 0.016963, 0.829905
241.406593, 312.616763, 0.010000, 0.016963, 0.829905
241.406593, 341.036469, 0.010000, 0.016963, 0.829905
241.406593, 369.456174, 0.010000, 0.016963, 0.829905
241.406593, 397.875880, 0.010000, 0.016963, 0.829905
241.406593, 426.295586, 0.010000, 0.016963, 0.829905
241.406593, 454.715292, 0.010000, 0.016963, 0.829905
241.406593, 483.134997, 0.010000, 0.016963, 0.829905
241.406593, 511.554703, 0.010000, 0.016963, 0.829905
241.406593, 539.974409, 0.010000, 0.016963, 0.829905
248.020473, 0.000000, 0.010000, 0.016963, 0.829905
248.020473, 28.419706, 0.010000, 0.016963, 0.829905
248.020473, 56.839411, 0.010000, 0.016963, 0.829905
248.020473, 85.259117, 0.010000, 0.016963, 0.829905
248.020473, 113.678823, 0.010000, 0.016963, 0.829905
248.020473, 142.098529, 0.010000, 0.016963, 0.829905
248.020473, 170.518234, 0.000440, 0.008788, 3.563854
248.020473, 198.937940, 0.003925, 0.011356, 1.965586
248.020473, 227.357646, 0.006868, 0.013869, 1.292063
248.020473, 255.777351, 0.009340, 0.016271, 0.913766
248.020473, 284.197057, 0.010000, 0.016963, 0.829905
248.020473, 312.616763, 0.010000, 0.016963, 0.829905
248.020473, 341.036469, 0.010000, 0.016963, 0.829905
248.020473, 369.456174, 0.010000, 0.016963, 0.829905
248.020473, 397.875880, 0.010000, 0.016963, 0.829905
248.020473, 426.295586, 0.010000, 0.016963, 0.829905
248.020473, 454.715292, 0.010000, 0.016963, 0.829905
248.020473, 483.134997, 0.010000, 0.016963, 0.829905
248.020473, 511.554703, 0.010000, 0.016963, 0.829905
248.020473, 539.974409, 0.010000, 0.016963, 0.829905
254.634352, 0.000000, 0.010000, 0.016963, 0.829905
254.634352, 28.419706, 0.010000, 0.016963, 0.829905
254.634352, 56.839411, 0.010000, 0.016963, 0.829905
254.634352, 85.259117, 0.010000, 0.016963, 0.829905
254.634352, 113.678823, 0.010000, 0.016963, 0.829905
254.634352, 142.098529, 0.010000, 0.016963, 0.829905
254.634352, 170.518234, 0.010000, 0.016963, 0.829905
254.634352, 198.937940, 0.002577, 0.010314, 2.425273
254.634352, 227.357646, 0.005558, 0.012708, 1.551175
254.634352, 255.777351, 0.008093, 0.015022, 1.090062
254.634352, 284.197057, 0.010000, 0.016963, 0.829905
254.634352, 312.616763, 0.010000, 0.016963, 0.829905
254.634352, 341.036469, 0.010000, 0.016963, 0.829905
254.634352, 369.456174, 0.010000, 0.016963, 0.829905
254.634352, 397.875880, 0.010000, 0.016963, 0.829905
254.634352, 426.295586, 0.010000, 0.016963, 0.829905
254.634352, 454.715292, 0.010000, 0.016963, 0.829905
254.634352, 483.134997, 0.010000, 0.016963, 0.829905
254.634352, 511.554703, 0.010000, 0.016963, 0.829905
254.634352, 539.974409, 0.010000, 0.016963, 0.829905
261.248231, 0.000000, 0.010000, 0.016963, 0.829905
261.248231, 28.419706, 0.010000, 0.016963, 0.829905
261.248231, 56.839411, 0.010000, 0.016963, 0.829905
261.248231, 85.259117, 0.010000, 0.016963, 0.829905
261.248231, 113.678823, 0.010000, 0.016963, 0.829905
261.248231, 142.098529, 0.010000, 0.016963, 0.829905
261.248231, 170.518234, 0.010000, 0.016963, 0.829905
261.248231, 198.937940, 0.001269, 0.009363, 3.038450
261.248231, 227.357646, 0.004273, 0.011635, 1.866492
261.248231, 255.777351, 0.006855, 0.013857, 1.294384
261.248231, 284.197057, 0.009067, 0.015991, 0.950243
261.248231, 312.616763, 0.010000, 0.016963, 0.829905
261.248231, 341.036469, 0.010000, 0.016963, 0.829905
261.248231, 369.456174, 0.010000, 0.016963, 0.829905
261.248231, 397.875880, 0.010000, 0.016963, 0.829905
261.248231, 426.295586, 0.010000, 0.016963, 0.829905
261.248231, 454.715292, 0.010000, 0.016963, 0.829905
261.248231, 483.134997, 0.010000, 0.016963, 0.829905
261.248231, 511.554703, 0.010000, 0.016963, 0.829905
261.248231, 539.974409, 0.010000, 0.016963, 0.829905
267.862110, 0.000000, 0.010000, 0.016963, 0.829905
267.862110, 28.419706, 0.010000, 0.016963, 0.829905
267.862110, 56.839411, 0.010000, 0.016963, 0.829905
267.862110, 85.259117, 0.010000, 0.016963, 0.829905
267.862110, 113.678823, 0.010000, 0.016963, 0.829905
267.862110, 142.098529, 0.010000, 0.016963, 0.829905
267.862110, 170.518234, 0.010000, 0.016963, 0.829905
267.862110, 198.937940, 0.000005, 0.008496, 3.900787
267.862110, 227.357646, 0.003016, 0.010646, 2.260221
267.862110, 255.777351, 0.005632, 0.012771, 1.535062
267.862110, 284.197057, 0.007895, 0.014832, 1.120425
267.862110, 312.616763, 0.009850, 0.016804, 0.848489
267.862110, 341.036469, 0.010000, 0.016963, 0.829905
267.862110, 369.456174, 0.010000, 0.016963, 0.829905
267.862110, 397.875880, 0.010000, 0.016963, 0.829905
267.862110, 426.295586, 0.010000, 0.016963, 0.829905
267.862110, 454.715292, 0.010000, 0.016963, 0.829905
267.862110, 483.134997, 0.010000, 0.016963, 0.829905
267.862110, 511.554703, 0.010000, 0.016963, 0.829905
267.862110, 539.974409, 0.010000, 0.016963, 0.829905
274.475990, 0.000000, 0.010000, 0.016963, 0.829905
274.475990, 28.419706, 0.010000, 0.016963, 0.829905
274.475990, 56.839411, 0.010000, 0.016963, 0.829905
274.475990, 85.259117, 0.010000, 0.016963, 0.829905
274.475990, 113.678823, 0.010000, 0.016963, 0.829905
274.475990, 142.098529, 0.010000, 0.016963, 0.829905
274.475990, 170.518234, 0.010000, 0.016963, 0.829905
274.475990, 198.937940, 0.010000, 0.016963, 0.829905
274.475990, 227.357646, 0.001792, 0.009736, 2.767728
274.475990, 255.777351, 0.004430, 0.011763, 1.823931
274.475990, 284.197057, 0.006733, 0.013746, 1.316459
274.475990, 312.616763, 0.008739, 0.015659, 0.995564
274.475990, 341.036469, 0.010000, 0.016963, 0.829905
274.475990, 369.456174, 0.010000, 0.016963, 0.829905
274.475990, 397.875880, 0.010000, 0.016963, 0.829905
274.475990, 426.295586, 0.010000, 0.016963, 0.829905
274.475990, 454.715292, 0.010000, 0.016963, 0.829905
274.475990, 483.134997, 0.010000, 0.016963, 0.829905
274.475990, 511.554703, 0.010000, 0.016963, 0.829905
274.475990, 539.974409, 0.010000, 0.016963, 0.829905
281.089869, 0.000000, 0.010000, 0.016963, 0.829905
281.089869, 28.419706, 0.010000, 0.016963, 0.829905
281.089869, 56.839411, 0.010000, 0.016963, 0.829905
281.089869, 85.259117, 0.010000, 0.016963, 0.829905
281.089869, 113.678823, 0.010000, 0.016963, 0.829905
281.089869, 142.098529, 0.010000, 0.016963, 0.829905
281.089869, 170.518234, 0.010000, 0.016963, 0.829905
281.089869, 198.937940, 0.010000, 0.016963, 0.829905
281.089869, 227.357646, 0.000603, 0.008900, 3.449011
281.089869, 255.777351, 0.003251, 0.010827, 2.178406
281.089869, 284.197057, 0.005584, 0.012730, 1.545608
281.089869, 312.616763, 0.007632, 0.014580, 1.162251
281.089869, 341.036469, 0.009427, 0.016361, 0.902316
281.089869, 369.456174, 0.010000, 0.016963, 0.829905
281.089869, 397.875880, 0.010000, 0.016963, 0.829905
281.089869, 426.295586, 0.010000, 0.016963, 0.829905
281.089869, 454.715292, 0.010000, 0.016963, 0.829905
281.089869, 483.134997, 0.010000, 0.016963, 0.829905
281.089869, 511.554703, 0.010000, 0.016963, 0.829905
281.089869, 539.974409, 0.010000, 0.016963, 0.829905
287.703748, 0.000000, 0.010000, 0.016963, 0.829905
